lang, total, count, time
go, 1000000, 78498, 58
java, 1000000, 78498, 61
rust, 1000000, 78498, 64
py, 1000000, 78498, 1845
go, 2000000, 148933, 121
java, 2000000, 148933, 155
rust, 2000000, 148933, 166
py, 2000000, 148933, 5049
go, 3000000, 216816, 213
java, 3000000, 216816, 270
rust, 3000000, 216816, 292
py, 3000000, 216816, 9067
go, 4000000, 283146, 317
java, 4000000, 283146, 402
rust, 4000000, 283146, 434
py, 4000000, 283146, 13760
go, 5000000, 348513, 433
java, 5000000, 348513, 550
rust, 5000000, 348513, 608
py, 5000000, 348513, 18891
go, 6000000, 412849, 558
java, 6000000, 412849, 721
rust, 6000000, 412849, 766
py, 6000000, 412849, 24430
go, 7000000, 476648, 708
java, 7000000, 476648, 897
rust, 7000000, 476648, 951
py, 7000000, 476648, 30662
go, 8000000, 539777, 853
java, 8000000, 539777, 1095
rust, 8000000, 539777, 1166
py, 8000000, 539777, 37930
go, 9000000, 602489, 1000
java, 9000000, 602489, 1286
rust, 9000000, 602489, 1355
py, 9000000, 602489, 44110
go, 10000000, 664579, 1157
java, 10000000, 664579, 1493
rust, 10000000, 664579, 1570
py, 10000000, 664579, 51130
go, 20000000, 1270607, 3059
java, 20000000, 1270607, 3950
rust, 20000000, 1270607, 4156
py, 20000000, 1270607, 137653
go, 30000000, 1857859, 5486
java, 30000000, 1857859, 7081
rust, 30000000, 1857859, 7440
py, 30000000, 1857859, 243430
go, 40000000, 2433654, 8317
java, 40000000, 2433654, 10686
rust, 40000000, 2433654, 11158
py, 40000000, 2433654, 367877
go, 50000000, 3001134, 11152
java, 50000000, 3001134, 14449
rust, 50000000, 3001134, 15274
py, 50000000, 3001134, 507485
go, 60000000, 3562115, 14378
java, 60000000, 3562115, 18806
rust, 60000000, 3562115, 19814
py, 60000000, 3562115, 643511
go, 70000000, 4118064, 17926
java, 70000000, 4118064, 23263
rust, 70000000, 4118064, 24373
py, 70000000, 4118064, 793898
go, 80000000, 4669382, 21472
java, 80000000, 4669382, 27928
rust, 80000000, 4669382, 29393
py, 80000000, 4669382, 974945
go, 90000000, 5216954, 26164
java, 90000000, 5216954, 33613
rust, 90000000, 5216954, 35371
py, 90000000, 5216954, 1127339
go, 100000000, 5761455, 29458
java, 100000000, 5761455, 37744
rust, 100000000, 5761455, 40329
py, 100000000, 5761455, 1323306
node, 1000000, 78498, 86
node, 2000000, 148933, 200
node, 3000000, 216816, 348
node, 4000000, 283146, 519
node, 5000000, 348513, 710
node, 6000000, 412849, 912
node, 7000000, 476648, 1129
node, 8000000, 539777, 1358
node, 9000000, 602489, 1603
node, 10000000, 664579, 2102
node, 20000000, 1270607, 5394
node, 30000000, 1857859, 9419
node, 40000000, 2433654, 14056
node, 50000000, 3001134, 19578
node, 60000000, 3562115, 25227
node, 70000000, 4118064, 30739
node, 80000000, 4669382, 36788
node, 90000000, 5216954, 43388
node, 100000000, 5761455, 50371
